ENSMUSG00000000916	ENSMUST00000000940
ENSMUSG00000000916	ENSMUST00000131863
ENSMUSG00000000916	ENSMUST00000202792
ENSMUSG00000000948	ENSMUST00000179360
ENSMUSG00000000948	ENSMUST00000191456
ENSMUSG00000000957	ENSMUST00000089688
ENSMUSG00000000957	ENSMUST00000197947
ENSMUSG00000000957	ENSMUST00000198679
ENSMUSG00000000957	ENSMUST00000225641
ENSMUSG00000000958	ENSMUST00000000984
ENSMUSG00000000958	ENSMUST00000197440
ENSMUSG00000000959	ENSMUST00000198107
ENSMUSG00000000959	ENSMUST00000228567
ENSMUSG00000000959	ENSMUST00000228719
ENSMUSG00000000976	ENSMUST00000001002
ENSMUSG00000000976	ENSMUST00000125831
ENSMUSG00000001016	ENSMUST00000001042
ENSMUSG00000001016	ENSMUST00000197644
ENSMUSG00000001016	ENSMUST00000198325
ENSMUSG00000001017	ENSMUST00000001043
ENSMUSG00000001018	ENSMUST00000149884
ENSMUSG00000001020	ENSMUST00000001046
ENSMUSG00000001029	ENSMUST00000001055
ENSMUSG00000001034	ENSMUST00000128478
ENSMUSG00000001036	ENSMUST00000108712
ENSMUSG00000001052	ENSMUST00000001079
ENSMUSG00000001053	ENSMUST00000001080
ENSMUSG00000001054	ENSMUST00000001081
ENSMUSG00000001054	ENSMUST00000136020
ENSMUSG00000001056	ENSMUST00000001083
ENSMUSG00000001062	ENSMUST00000149490
ENSMUSG00000001065	ENSMUST00000156896
ENSMUSG00000001082	ENSMUST00000200717
ENSMUSG00000001089	ENSMUST00000170102
ENSMUSG00000001095	ENSMUST00000001122
ENSMUSG00000001098	ENSMUST00000102581
ENSMUSG00000001100	ENSMUST00000001127
ENSMUSG00000001100	ENSMUST00000136284
ENSMUSG00000001100	ENSMUST00000147930
ENSMUSG00000001100	ENSMUST00000151499
ENSMUSG00000001100	ENSMUST00000156754
ENSMUSG00000001103	ENSMUST00000001130
ENSMUSG00000001105	ENSMUST00000128788
ENSMUSG00000001105	ENSMUST00000137120
ENSMUSG00000001119	ENSMUST00000001147
ENSMUSG00000001123	ENSMUST00000108268
ENSMUSG00000001127	ENSMUST00000001155
ENSMUSG00000001127	ENSMUST00000122312
ENSMUSG00000001127	ENSMUST00000152955
ENSMUSG00000001128	ENSMUST00000001156
ENSMUSG00000001134	ENSMUST00000123836
ENSMUSG00000001138	ENSMUST00000097776
ENSMUSG00000001138	ENSMUST00000195264
ENSMUSG00000001143	ENSMUST00000125304
ENSMUSG00000001143	ENSMUST00000193502
ENSMUSG00000001150	ENSMUST00000170795
ENSMUSG00000001150	ENSMUST00000220410
